centroid_x,centroid_y,radius_500
385252.79678206414,61985.54749139221,
385291.3159570406,62103.66349779757,
385473.25033030857,61622.63186578117,
387113.7258826479,60071.95518149914,
386634.1389064009,60679.83836228298,
387459.1577953716,59745.433446619565,
382343.05659260927,61027.501161616245,
382381.592684618,61145.61753951661,
384184.80707619514,59749.6463990667,
384021.4233899044,59594.98300588654,
382600.3104534007,59393.051506349475,
383070.3937626386,59103.061321480476,
382811.4626929418,59347.94383417854,
384070.7096774111,60784.92679846394,
384099.9791591639,61220.90873701277,
384761.2759532565,60132.01003138453,
384281.8699731695,60739.83648425875,
383024.21220788,60692.51474610391,87.0
383387.9227459971,59730.297640732184,
383206.0604238799,60211.42455748323,
386414.9043635971,62432.36065795102,
387391.4598094677,59191.14946263944,
384400.38151925505,63872.81756861968,
384141.48521557794,64117.512703077235,
382529.78461171396,64713.97245187476,
383027.3969305368,63471.11658333983,
383065.92337651463,63589.20178825779,
383471.1968731614,65523.3877511692,
383834.83116654115,64561.82856891497,
384535.9209615775,64980.56887812606,
383106.0342549074,65096.168958632334,
383144.5561570439,65214.23173510105,
383326.3551231786,64733.45468855946,
385772.0944912888,62885.37139347205,
385801.31435728533,63321.263585999885,
384380.3883542301,63119.214376205106,
384784.1151856135,63664.62991052796,
385445.38772296923,62576.11269374543,
384477.4182131955,64108.98754691665,
384515.935820263,64227.07031174222,
385869.04437646316,63875.22562664029,
383740.819485618,66349.76557815202,
382724.0284544012,66692.85874462029,
383375.67721353576,65922.57725900247,
383414.19566361426,66040.62965693085,
383107.6189660922,66484.80004505847,
383511.2633418525,67029.99906277483,
384565.1699014697,65416.32368062575,
384603.6837318073,65534.38850800322,
384747.0311043676,64935.53575856255,
384785.54525871953,65053.60814244174,
382249.2103486929,62816.17844774112,
381760.87520502054,63741.41009723983,
381942.628979228,63260.554683574046,
381971.9506736791,63696.3633914405,
386353.92167995253,58780.79160177682,
384741.2954753489,59378.03059489423,
385683.0778624064,60187.89481671354,
386047.04279621446,59225.51402489846,
386748.4352680746,59644.44501176028,
385317.7883711576,59760.41343439241,
385356.31290684204,59878.560915145514,
385538.2771844555,59397.373054439166,
382407.6080990178,58802.32712468441,
382446.1495568853,58920.47496439606,
382030.58918345574,64567.90909905504,
381771.7892029214,64812.55484743708,
384086.23747770337,57369.24950205237,
381224.89171438914,64866.10189592488,
384164.7980846298,58995.645783407854,43.0
384135.5260526825,58559.5383400984,43.0
382032.27305529057,65956.5804358189,
382166.27284895675,65675.46452027638,
380918.4058728221,65310.31905927139,
380956.93809359876,65428.36901665427,
383088.8691911441,58467.18592138721,
383452.63949702,57504.65634586285,
383270.7472888284,57985.939498791064,
384254.0836519399,61693.386057023316,
384292.6085416297,61811.50168069582,
382680.6367192536,62408.2830364991,
383178.34349748853,61165.0023736846,87.0
383207.6361464645,61600.94848658488,
383804.04054900026,62736.94181027532,
383324.79049332027,63344.493884386764,
383985.89953297673,62255.98043941315,
383256.9772997245,62790.547619223966,
382998.1030615756,63035.27803237778,
383468.0941886145,62745.48594044206,
384234.0805490941,60939.573677816166,
385952.7188781914,61014.86557404224,
384628.59689932223,61802.94511105906,
384935.348843823,61358.42458342685,
385587.4497570206,60587.41466159766,
385625.97083811474,60705.55176275807,
384657.84947771276,62238.879211128784,
385742.8730038651,62449.455289572594,
385319.16937568935,61150.12871245027,
386529.1703965079,61397.22045600398,
386270.1557384051,61642.03704446885,
386480.07143401913,60207.26154702856,
388092.88669034006,59610.10440782607,
387910.8086916774,60091.32221170782,
385722.9432336337,61695.67500732772,
386518.58904241526,60325.407975596616,
387545.5195040262,59663.79956306699,
387584.0331936436,59781.958379694704,
387095.0768843492,60707.79127591362,
386615.5115998339,61315.61216611752,
387277.1102822075,60226.63072192247,
382467.8861309691,61064.01762498578,87.0
382286.08185438433,61545.03541178608,
